R63JO1dNY_c,Every Way To Cook A Potato (43 Ways),2023-12-20T15:45:02Z,UChBEbMKI1eCcejTtmI32UEw,Joshua Weissman,26,1746320,53336,0,2924
ZrVqg5N-sg0,"Best 3D Wood Art Wins $10,000!",2023-12-20T16:57:34Z,UCPAk4rqVIwg1NCXh61VJxbg,ZHC Crafts,26,834554,26103,0,3822
gi96HKr2vo8,iPhone Thief Explains How He Breaks Into Your Phone | WSJ,2023-12-20T19:35:17Z,UCK7tptUDHh-RYDsdxO1-5QQ,The Wall Street Journal,25,1879684,30677,0,3271
rwGpzW8xz-U,Melanie Martinez - TUNNEL VISION (Official Video),2023-12-19T19:00:10Z,UC2YnEq5Fc5_zEO6bo0oNzCQ,melanie martinez,10,3205906,330353,0,36120
PYmi559SpWI,The Most Profitable Film in History,2023-12-20T18:37:12Z,UC7Ucs42FZy3uYzjrqzOIHsw,EmpLemon,1,623812,42346,0,1846
GUzqD5UcLwo,"Taraji P. Henson May Quit Acting Over Pay, Treatment in the Entertainment Industry",2023-12-19T13:30:12Z,UC49ta0RHXJUiID5KWRkcySw,SiriusXM,24,761177,14659,0,3739
vB8rZBuciC8,2024 Mustang Really Is a Dark Horse — Review & Documentary feat BMW M4 — Jason Cammisa on the ICONS,2023-12-21T16:00:40Z,UCLgEVx4mzk3T3mzgbKG54Eg,Hagerty,2,665603,38923,0,2820
BZ2keBb2-1w,150+ names connected to Jeffrey Epstein case must be released: Federal Judge,2023-12-20T21:40:48Z,UCVuFPbAjTi3mqpH-0veJRWg,CBS Philadelphia,25,291176,4332,0,2308
0_S-XIrnAaQ,Surviving Minecraft's Scariest Mod - Night Dweller,2023-12-20T23:45:00Z,UC1gYgaHH-KJcMzchkjVyuEg,thrite,20,362277,31358,0,2609
mBLWUUXSmI4,"We have to fix EVERYTHING… (engine, sails, leaks)",2023-12-20T22:22:37Z,UCZdQjaSoLjIzFnWsDQOv4ww,Sailing La Vagabonde,19,537588,25837,0,1314
1X5qBSBQm8g,How Ja Morant was in the Locker Room,2023-12-20T06:56:22Z,UC4G10tk3AHFuyMIuD3rHOBA,RDCworld1,1,1344672,103478,0,2839
C1GOMXpuC60,The Decline of Subway...What Happened?,2023-12-20T19:00:00Z,UCQMyhrt92_8XM0KgZH6VnRg,Company Man,27,465023,19699,0,5329
QBFqKzmvwQE,Every CRAZY Pokedex Entry in Scarlet & Violet's DLC,2023-12-20T17:15:00Z,UCSAYHSNaY5_UEol4_frPurg,MandJTV,20,363211,19313,0,2263
jQSlUf4FcaM,Aquaman and the Lost Kingdom - Movie Review,2023-12-21T15:00:28Z,UC7v3-2K1N84V67IF-WTRG-Q,Jeremy Jahns,24,758571,38077,0,4501
RqU02Oebe2I,Hay Day: Holiday Miracle,2023-12-21T08:07:00Z,UCBrMq7wkdPWb3PxR-GUR61A,Hay Day,20,738779,32208,0,908
mrinp7EfVs0,Somehow We Got WORSE (Don't Win Mario Party),2023-12-20T18:00:32Z,UCJ2ZDzMRgSrxmwphstrm8Ww,Smosh Games,20,617187,34190,0,1389
